ID_Pas,Codi_Pas,M2_Pas,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Longitud,Latitud,X_ETRS89,Y_ETRS89,Data_Alta,Data_Baixa
8160783,255000000_Pastilla,4.54,1,Ciutat Vella,1,el Raval,2.1716795,41.3778421,430736.007,4581033.407,2000/01/01,
9080641,255128000_Taco,7.25,1,Ciutat Vella,1,el Raval,2.1671585,41.3857275,430366.369,4581912.538,2000/01/01,2018/01/21
8160780,255000000_Pastilla,4.51,1,Ciutat Vella,1,el Raval,2.1716584,41.3779083,430734.313,4581040.790,2000/01/01,
8151402,255000000_Pastilla,6.02,1,Ciutat Vella,1,el Raval,2.1639571,41.3808310,430093.453,4581371.443,2000/01/01,
8151405,255000000_Pastilla,5.94,1,Ciutat Vella,1,el Raval,2.1639679,41.3807640,430094.290,4581364.070,2000/01/01,
8151408,255000000_Pastilla,6.06,1,Ciutat Vella,1,el Raval,2.1640157,41.3808020,430098.333,4581368.213,2000/01/01,
8151411,255000000_Pastilla,6.06,1,Ciutat Vella,1,el Raval,2.1652967,41.3808508,430205.497,4581372.603,2000/01/01,
8160776,255000000_Pastilla,5.96,1,Ciutat Vella,1,el Raval,2.1717343,41.3779128,430740.663,4581041.213,2000/01/01,
8160764,255000000_Pastilla,8.14,1,Ciutat Vella,1,el Raval,2.1738357,41.3786830,430917.195,4581125.045,2000/01/01,
9158571,255000000_Pastilla,4.50,1,Ciutat Vella,1,el Raval,2.1646942,41.3804150,430154.647,4581324.697,2018/03/26,
9158597,255000000_Pastilla,14.59,1,Ciutat Vella,1,el Raval,2.1655171,41.3804088,430223.454,4581323.375,2018/03/26,
9158608,255000000_Pastilla,11.86,1,Ciutat Vella,1,el Raval,2.1673373,41.3803998,430375.642,4581320.893,2018/03/22,
9158614,255000000_Pastilla,6.09,1,Ciutat Vella,1,el Raval,2.1672560,41.3803905,430368.830,4581319.907,2018/03/22,
8160757,255000000_Pastilla,5.89,1,Ciutat Vella,1,el Raval,2.1733924,41.3781727,430879.590,4581068.780,2000/01/01,
8151414,255000000_Pastilla,5.93,1,Ciutat Vella,1,el Raval,2.1651933,41.3808828,430196.880,4581376.273,2000/01/01,
8151417,255000000_Pastilla,7.99,1,Ciutat Vella,1,el Raval,2.1652270,41.3809400,430199.765,4581382.535,2000/01/01,
8151421,255000000_Pastilla,6.14,1,Ciutat Vella,1,el Raval,2.1660115,41.3794532,430263.770,4581216.853,2000/01/01,
9158681,255128000_Taco,2.99,1,Ciutat Vella,1,el Raval,2.1759267,41.3777036,431091.014,4581014.715,2000/01/01,2018/03/20
8160753,255000000_Pastilla,9.96,1,Ciutat Vella,1,el Raval,2.1729310,41.3778068,430840.628,4581028.545,2000/01/01,
9158617,255000000_Pastilla,7.32,1,Ciutat Vella,1,el Raval,2.1671874,41.3805068,430363.216,4581332.892,2018/03/22,
8151424,255000000_Pastilla,7.03,1,Ciutat Vella,1,el Raval,2.1638977,41.3812125,430088.900,4581413.860,2000/01/01,
8151489,255000000_Pastilla,5.94,1,Ciutat Vella,1,el Raval,2.1649012,41.3832977,430175.035,4581644.608,2000/01/01,
